HOME_PLAN_ID_CD|BILL_PROV_ID|LOCATION_ID|LOCATION_ADDRESS_ID|LOCATION_NAME|LOCATION_PEER_GROUP|LOCATION_STREET1|LOCATION_STREET2|LOCATION_CITY|LOCATION_COUNTY_CD|LOCATION_STATE|LOCATION_ZIP|LOCATION_PHONE|LOCATION_EMAIL|SEG1_ID|SEG2_ID|SEG3_ID|SEG4_ID|SEG5_ID|SEG6_ID|SEG7_ID|SEG8_ID|SEG9_ID|SEG10_ID
20|18489LJ44218|207X00000X|9|ROY|OP|250 Hill Point Place||COVINGTON|AR031|LA|70433|+1-783-248|useful1890@protonmail.com||||||||||
20|98304QC10470|207RC0000X|7|PAMELA|IP|761 Cyril Magnin Bend||MOLINE|NE055|IL|61265|+1-893-414|sherman1935@yandex.com||||||||||
259|21160JG20510|207RC0000X|6|LETHA|OP|1069 Godeus Expressway||FAIRBANKS|NE153|AK|99709|+1-029-038|linear1827@outlook.com||||||||||
20|17308MQ27645|207RC0000X|7|MICHAEL|OP|777 South Park Trail||BISMARCK|AR143|ND|58506|+1-809-348|chuck1829@yandex.com||||||||||
20|91301IR60282|207R00000X|8|PAMELA|IP|700 Pasadena Garden||MOLINE|AR045|IL|61265|+1-898-686|ventures1934@protonmail.com||||||||||
170|52331LB59510|207RC0000X|9|STEPHEN|IP|939 Manzanita Mews||SEATTLE|AR143|WA|98145|+1-687-749|nextel1884@outlook.com||||||||||
20|31155QA95156|207RC0000X|6|DONNA-MARIE|IP|44 Springfield Pine||CONYERS|LA071|GA|30094|+1-799-218|yellow2078@duck.com||||||||||
20|60822AA81006|207X00000X|3|SHELBY|OP|946 Latona Terrace||DANVILLE|LA071|KY|40422|+1-429-307|marriage2010@live.com||||||||||
259|35971UZ86867|207X00000X|7|LINDA|IP|905 Hagiwara Tea Garden Stravenue||CIRCLE PINES|AR143|MN|55014|+1-533-759|xbox1870@example.com||||||||||
20|93096CK62331|207RC0000X|2|LOUIS|OP|1019 Crown Terrace||SAINT LOUIS|AR007|MO|63141|+1-704-716|banana1981@duck.com||||||||||
20|66771NQ39876|207X00000X|4|TAE'NI|OP|1026 Gateview Motorway||DYER|LA071|IN|46311|+1-317-189|marco1998@example.com||||||||||
