HOME_PLAN_ID_CD|BHI_PROV_ID|PROVIDER_ID|ALT_PROV_ID|CON_PROV_ID|PROV_SPCLT_CD|PLAN_PROV_SPCLT_CD|CMS_SPCLT_CD|PROV_TYPE|PROV_NET_IND|OOA_IND|PROV_ORG_NM|PROV_NM_LAST|PROV_NM_FIRST|PROV_STREET1|PROV_STREET2|PROV_CITY|PROV_COUNTY_CD|PROV_STATE|PROV_ZIP|PROV_PHONE|PROV_EMAIL|PROV_NPI|PROV_DEA|SEG1_ID|SEG2_ID|SEG3_ID|SEG4_ID|SEG5_ID|SEG6_ID|SEG7_ID|SEG8_ID|SEG9_ID|SEG10_ID|PROV_ARRANGEMENT_ID_1|PROV_ARRANGEMENT_NM_1|PROV_ARRANGEMENT_TYPE_CD_1|PROV_ARRANGEMENT_START_DT_1|PROV_ARRANGEMENT_END_DT_1|PROV_ARRANGEMENT_ID_2|PROV_ARRANGEMENT_NM_2|PROV_ARRANGEMENT_TYPE_CD_2|PROV_ARRANGEMENT_START_DT_2|PROV_ARRANGEMENT_END_DT_2|PROV_TAXONOMY_CD|MEDICARE_PROV_ID
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||FRENCH|GINA|1319 PUNAHOU ST||HONOLULU|LA017|HI|96826||disciplines2043@duck.com|1316948979||||||||||||||||||||||05602APWIG|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||I||RINDAHL|MARTIN|1867 E FIR AVE||FRESNO|AR143|CA|93720||helping2094@protonmail.com|1174529135||||||||||||||||||||||91015AKKVH|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||CHANG|THOMAS|PO BOX 418283||BOSTON|LA017|MA|22418||specifications1947@outlook.com|1689672743||||||||||||||||||||||08441BCZAC|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||DUPRE|D'MICHELLE|PMB 341||CHRISTIANSTED|AR007|VI|820||blessed1933@protonmail.com|1295737047||||||||||||||||||||||11082LUTTC|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||MOOREVILLE|RUTH|P.O. BOX 191||ROCKLAND|NE109|DE|19723||crystal2075@gmail.com|1538162219||||||||||||||||||||||72742NMKOO|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||CHILCOTE|WAYNE|123 PRIMROSE LN||HAMILTON|AR119|MT|59840||funding2038@yahoo.com|1508861840||||||||||||||||||||||48922LGIQU|
471|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||AUSTIN|SUSAN|820 N CHELAN AVE||WENATCHEE|AR007|WA|98801||diary1907@protonmail.com|1659374767||||||||||||||||||||||05481CELTI|
259|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||ANDERSON|DOUGLAS|201 NW MEDICAL LOOP STE 190||ROSEBURG|PA003|OR|97471||wesley1851@yahoo.com|1841294774||||||||||||||||||||||40146IIGYA|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||SHAIKH|JAWAD|1 OXFORD RD||NEW HARTFORD|AR007|NY|13413||struggle1846@live.com|1093718140||||||||||||||||||||||97508WEMWJ|
471|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||CAPRIO|RALPH|1033 ROUTE 46||CLIFTON|AR045|NJ|70132||message1879@duck.com|1174526636||||||||||||||||||||||11514DOBER|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||COX|E|CMR 411||APO|LA017|AE|9112||municipal1959@duck.com|1598757767||||||||||||||||||||||59528UORFM|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||I||GUTIERREZ|MATTHEW|246 PLEASANT STREET MEMORIAL BUILDING, WEST, GROUND FLO||CONCORD|AR143|NH|33012||reduced1955@duck.com|1508860552||||||||||||||||||||||14219RIZJA|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||PETRASKO|MARIAN|PO BOX 91407||SIOUX FALLS|AR143|SD|57109||php1897@example.org|1881699965||||||||||||||||||||||30396MQXJH|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||I||MORGAN|CLAIRE|29 HILLCREST DR LOT 24A||HATTIESBURG|PA003|MS|39402||entirely2057@example.com|1679576458||||||||||||||||||||||40121IBLDP|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||GOLDBERG|STEVEN|1010 NORTHERN BLVD||GREAT NECK|NE055|NY|11021||viral1896@yandex.com|1205839255||||||||||||||||||||||96724QKJWK|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||FROST|CARRIE|25A JUNE ST||SANFORD|AR007|ME|40732||finite1891@outlook.com|1457354540||||||||||||||||||||||41266EMVHN|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||WESOLOW|GRACE|233 BROOKFIELD DR||JACKSON|NE153|NJ|85273||tactics1810@yahoo.com|1538165923||||||||||||||||||||||57276WIUPU|
471|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||FATZ|CASEY|PO BOX 1829||COEUR D ALENE|AR131|ID|83816||stanley1935@duck.com|1306847488||||||||||||||||||||||12709ZSFCS|
259|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||FINEGOLD|ROBERT|PO BOX 1849||LEWISTON|LA071|ME|42411||connectors2033@outlook.com|1366446106||||||||||||||||||||||66966UBKRH|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||DOBRATZ|STEPHEN|2205 W MAIN ST||RUSSELLVILLE|PA003|AR|72801||inexpensive2089@live.com|1023011194||||||||||||||||||||||78203NUWBD|
170|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||FINEGOLD|ROBERT|PO BOX 1849||LEWISTON|AR131|ME|42411||mid1988@gmail.com|1366446106||||||||||||||||||||||28828TJYPZ|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||DAVIS|STACY|501 GREAT CIRCLE RD||NASHVILLE|AR007|TN|37228||repeated1855@outlook.com|1942203963||||||||||||||||||||||88829AXUTQ|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||MALDONADO|JOYCE|PO BOX 4601||HOUSTON|AR069|TX|77210||armor1827@live.com|1083619316||||||||||||||||||||||82826OGRRA|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||VERMILLION|DAVID|725 SCHOOL ST STE A||MORRIS|AR007|IL|60450||pockets1838@duck.com|1093718801||||||||||||||||||||||94986ZINAH|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||KITE|ROY|120 INNWOOD DR||COVINGTON|AR007|LA|70433||pentium2015@protonmail.com|1538162060||||||||||||||||||||||91981PBKHU|
471|208G00000X|208G00000X|208G00000X|208G00000X||||FACILITY||I||ATTIG|ELIZABETH|6080 N LA CHOLLA BLVD # 200||TUCSON|AR007|AZ|85741||certain2048@gmail.com|1548263783||||||||||||||||||||||02432TLPKX|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||STEVENS|WILLIAM|PO BOX 80217||PHOENIX|NE153|AZ|85060||previews2061@yandex.com|1356344824||||||||||||||||||||||12450QTONI|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||GILLUM|PAUL|2413 PALMER CIR||NORMAN|AR143|OK|73069||arbitration2080@protonmail.com|1982602025||||||||||||||||||||||27377LENZA|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||ALDANA|ALVARO|3686 GRANDVIEW PKWY||BIRMINGHAM|LA071|AL|35243||possession1873@yandex.com|1295739274||||||||||||||||||||||51619JLORI|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||SWERDLOW|TREVOR|9050 PINES BLVD||PEMBROKE PINES|AR007|FL|33024||similar1833@live.com|1124021274||||||||||||||||||||||72976HWQSR|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||ALGAN|SHEILA|1122 NE 13TH ST||OKLAHOMA CITY|AR045|OK|73117||angle1985@outlook.com|1629071543||||||||||||||||||||||51989LHJEC|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||SOARES RIVERA|MANUEL|PO BOX 398||HUMACAO|AR143|PR|79203||headers2056@example.org|1306844725||||||||||||||||||||||77679AHOYK|
259|207R00000X|207R00000X|207R00000X|207R00000X||||GROUP||O||LEE|STEPHEN|5300 N INDEPENDENCE AVE STE 280||OKLAHOMA CITY|PA003|OK|73112||msn1900@duck.com|1063415958||||||||||||||||||||||52090VTRLY|
20|207YS0123X|207YS0123X|207YS0123X|207YS0123X||||PROVIDER||I||GOLDBERG|STEVEN|1010 NORTHERN BLVD||GREAT NECK|AR143|NY|11021||continuous1820@live.com|1205839255||||||||||||||||||||||73998BFWXH|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||SWERDLOW|TREVOR|9050 PINES BLVD||PEMBROKE PINES|NE109|FL|33024||leon2080@protonmail.com|1124021274||||||||||||||||||||||23147GXXYY|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||DEPAOLIS|DION|604 S. BITTERSWEET LANE||LANSING|AR143|KS|66043||places2015@live.com|1548265960||||||||||||||||||||||81983WPCQS|
259|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||MOORE|JAMES|1919 W. CORONET AVENUE||ANAHEIM|AR007|CA|92801||table1837@yandex.com|1356344386||||||||||||||||||||||03826VZHLD|
259|207R00000X|207R00000X|207R00000X|207R00000X||||FACILITY||O||MYHRE|MICHAEL|PO BOX 9589||BOISE|AR007|ID|83707||stunning2066@example.org|1821093527||||||||||||||||||||||32195WDPLJ|
259|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||I||THERRIEN|MICHAEL|1000 ASYLUM AVE||HARTFORD|AR007|CT|61051||organic1807@protonmail.com|1023011145||||||||||||||||||||||68897WLDPA|
471|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||CHILCOTE|WAYNE|123 PRIMROSE LN||HAMILTON|AR007|MT|59840||currently1819@outlook.com|1508861840||||||||||||||||||||||44518OAINE|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||MINTZ|HOWARD|10 DAVOL SQ||PROVIDENCE|AR143|RI|29034||walls1838@protonmail.com|1548263494||||||||||||||||||||||79996BZLCE|
170|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||WILLIAMS|BILL|1456 W 5TH ST||SHERIDAN|AR119|WY|82801||arabic1859@example.org|1245238468||||||||||||||||||||||80230GDUSB|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||GORDON|JEFFERY|127 CRESTVIEW PARK DR||DICKSON|AR143|TN|37055||connectors1834@example.com|1770586919||||||||||||||||||||||42488GUPQU|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||RINDAHL|MARTIN|1867 E FIR AVE||FRESNO|AR031|CA|93720||october1972@protonmail.com|1174529135||||||||||||||||||||||41453ECMCL|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||HANSEN|EWA|3740 W SYLVANIA AVE||TOLEDO|AR131|OH|43623||credits2043@protonmail.com|1235132275||||||||||||||||||||||59105DOTLH|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||SACKS|DAVID|PO BOX 13579||READING|NE153|PA|19612||projector2014@example.org|1518962042||||||||||||||||||||||28365UWAOO|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||SOARES RIVERA|MANUEL|PO BOX 398||HUMACAO|AR031|PR|79203||recruitment2069@example.com|1306844725||||||||||||||||||||||92310HGPQS|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||SHALABY|MOHAMED|PO BOX 58106||WEBSTER|AR007|TX|77598||chancellor1901@protonmail.com|1700889961||||||||||||||||||||||78173IZXYN|
259|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||CAPRIO|RALPH|1033 ROUTE 46||CLIFTON|AR069|NJ|70132||river2080@yandex.com|1174526636||||||||||||||||||||||76975GKEAQ|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||I||REED|JON|1124 COLUMBIA STREET||SEATTLE|LA071|WA|98104||canberra2042@yandex.com|1043215973||||||||||||||||||||||03028OLVYV|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||HEATON, JR|ROBERT|9901 MEDICAL CENTER DR||ROCKVILLE|AR069|MD|20850||santa2051@protonmail.com|1003817164||||||||||||||||||||||39980IFNFC|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||O'DONNELL|PHILIP|104 SELMA DR||WINCHESTER|PA003|VA|22601||processing1996@outlook.com|1871596924||||||||||||||||||||||11946CEHJW|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||STANLEY|JOHN|36561 HARPER AVE||CLINTON TWP|LA071|MI|48035||holidays1814@duck.com|1326041187||||||||||||||||||||||73197JQJYF|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||ARONOFF|ROBERT|PO BOX 858||HERSHEY|PA003|PA|17033||house1903@duck.com|1043213226||||||||||||||||||||||02234OAQQP|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||MATTHEWS|JOHN|701 N CLAYTON ST||WILMINGTON|LA033|DE|19805||medium1897@live.com|1275533234||||||||||||||||||||||89343UUKBN|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||ILARIO|STEPHEN|2501 PORTER ST NW APT 310||WASHINGTON|LA071|DC|20008||stylus1949@live.com|1164425419||||||||||||||||||||||75288IYWZF|
20|207R00000X|207R00000X|207R00000X|207R00000X||||FACILITY||I||READ|MARC|PO BOX 1807||WINCHESTER|PA003|VA|22604||holidays1965@live.com|1447253083||||||||||||||||||||||15591HZNHW|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||HANSEN|EWA|3740 W SYLVANIA AVE||TOLEDO|AR031|OH|43623||preview1958@example.com|1235132275||||||||||||||||||||||54417MRSFY|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||I||RING|MICHAEL|PO BOX 331||LIBERTY LAKE|AR143|WA|99019||bernard2006@example.com|1467455543||||||||||||||||||||||41835DNIAI|
170|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||AMATO|DINA|26 SCHOOLHOUSE DR UNIT 303||WEST HARTFORD|AR143|CT|61101||chaos1810@example.org|1114920832||||||||||||||||||||||50790BHUDE|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||WEBB|WILLIAM|95 S PAGOSA BLVD||PAGOSA SPRINGS|AR143|CO|81147||advertise1890@outlook.com|1962406637||||||||||||||||||||||77374COBPI|
170|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||MORGAN|CLAIRE|29 HILLCREST DR LOT 24A||HATTIESBURG|LA071|MS|39402||ethical1900@live.com|1679576458||||||||||||||||||||||91559PNDAF|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||FOCHIOS|DEAN|1836 SOUTH AVE||LA CROSSE|AR007|WI|54601||questions2096@example.com|1801899935||||||||||||||||||||||13106TVEVR|
20|207R00000X|207R00000X|207R00000X|207R00000X||||FACILITY||O||WILLIAMS|BILL|1456 W 5TH ST||SHERIDAN|AR007|WY|82801||sterling1840@duck.com|1245238468||||||||||||||||||||||73969TJKMJ|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||VOGEL|SARALYN|100 N ACADEMY AVE||DANVILLE|LA017|PA|17822||ken2030@example.org|1306849591||||||||||||||||||||||85576GTHFJ|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||I||JOHNSON|GLENN|2215 BIG TIMBER RD||CALMAR|AR119|IA|52132||nvidia2062@gmail.com|1417950569||||||||||||||||||||||89315JWSKA|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||O||WHITTLE|THOMAS|PO BOX 6446||CHRISTIANSBURG|AR143|VA|24068||craft2094@example.com|1508869132||||||||||||||||||||||94409XIYYO|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||HAYASHI|GRANT|1350 STARDUST ST||RENO|NE109|NV|89503||benefits1937@protonmail.com|1962405290||||||||||||||||||||||28102DHSQP|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||SHAIKH|JAWAD|1 OXFORD RD||NEW HARTFORD|AR007|NY|13413||null1881@example.com|1093718140||||||||||||||||||||||79474WWJVM|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||MACHAFFIE|BRUCE|3205 N ACADEMY BLVD STE 130||COLORADO SPRINGS|LA017|CO|80917||guitar2081@yandex.com|1871595173||||||||||||||||||||||44577JSKDJ|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||DUBOSE|JON|111 HOSPITAL DR||TARBORO|LA071|NC|27886||short1810@duck.com|1114920162||||||||||||||||||||||88713RQHHV|
170|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||ARUMUGHAM|PRADEEP|701 DOCTORS DRIVE||KINSTON|LA071|NC|28501||monitor2092@yahoo.com|1861495095||||||||||||||||||||||76226DHPQZ|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||PERELSON|GLENN|PO BOX 606||SPRING VALLEY|LA071|CA|91976||roller2011@gmail.com|1972506970||||||||||||||||||||||11504ZRFAU|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||DITTMANN|CAROL|PO BOX 110429||AURORA|AR131|CO|80042||maintains1991@yahoo.com|1427052414||||||||||||||||||||||35173AJKNH|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||HICKS|JOHN|1213 56TH ST||MERIDIAN|NE153|MS|39305||guests1865@gmail.com|1942204284||||||||||||||||||||||80726POIEK|
20|207X00000X|207X00000X|207X00000X|207X00000X||||FACILITY||I||PATIL|SANJAY|6905 BURLINGTON PIKE||FLORENCE|AR119|KY|41042||weapon2033@example.com|1417950510||||||||||||||||||||||46136TRTCD|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||FACILITY||O||ABASKARON|MAGDY|PO BOX 21249||LOUISVILLE|NE109|KY|40221||individually1834@yandex.com|1548264062||||||||||||||||||||||75203ELTRP|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||MANSON|STEVEN|1836 SOUTH AVE||LA CROSSE|PA003|WI|54601||bennett1830@yahoo.com|1396748141||||||||||||||||||||||15788PJISL|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||O||LAWRENCE|JOSEPH|P.O. BOX 638||GILLETTE|AR143|WY|82717||sufficiently1811@yahoo.com|1417953373||||||||||||||||||||||74522HEABB|
471|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||WIEBE|DAVID|PO BOX 2168||KEARNEY|AR007|NE|68848||ebook1835@duck.com|1679576722||||||||||||||||||||||52144YWBSS|
471|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||CROWLEY|HEATHER|1 HAMPTON RD||EXETER|AR119|NH|38334||phones1958@example.com|1336142595||||||||||||||||||||||38614OKWFP|
20|207R00000X|207R00000X|207R00000X|207R00000X||||PROVIDER||I||SMART|STEVEN|2650 RIDGE AVE||EVANSTON|AR119|IL|60201||active1870@gmail.com|1669476545||||||||||||||||||||||33856LFQZR|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||SMITH|PETER|PO BOX 17288||JERSEY CITY|AR143|NJ|73077||james1916@yandex.com|1861497224||||||||||||||||||||||76271TYPAN|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||BALL|JOHN|300 CARSON ST||JONESBORO|NE109|AR|72401||ncaa2055@live.com|1225036924||||||||||||||||||||||12470OEOVH|
259|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||PROVIDER||I||DIGIOVANNI|LOUIS|PO BOX 2000||HUDSON|AR069|NY|12534||cover1917@duck.com|1265435432||||||||||||||||||||||50380OOFTF|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||WIEBE|DAVID|PO BOX 2168||KEARNEY|AR119|NE|68848||positioning1858@yandex.com|1679576722||||||||||||||||||||||02188FSVXF|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||O||PAPAS-CORDEN|PAMELA|545 VALLEY VIEW DR||MOLINE|NE055|IL|61265||minor1805@outlook.com|1659372555||||||||||||||||||||||95082TGFCX|
471|208G00000X|208G00000X|208G00000X|208G00000X||||PROVIDER||I||JANOS|AARON|500 SOUTH UNIVERSITY AVENUE||LITTLE ROCK|AR143|AR|72205||then1961@example.org|1003819996||||||||||||||||||||||69698TBMWX|
170|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||O||CHANG-STROMAN|TAE'NI|1160 JOLIET ST||DYER|NE153|IN|46311||certified1887@duck.com|1902809601||||||||||||||||||||||35221MHJUQ|
20|207X00000X|207X00000X|207X00000X|207X00000X||||GROUP||I||CHAWLA|JAGJIT|PO BOX 60100||CHARLESTON|LA071|SC|29419||contrast2087@example.com|1568462695||||||||||||||||||||||22352INJNV|
20|207X00000X|207X00000X|207X00000X|207X00000X||||PROVIDER||O||WEBB|WILLIAM|95 S PAGOSA BLVD||PAGOSA SPRINGS|AR007|CO|81147||discretion2016@live.com|1962406637||||||||||||||||||||||54208GMHEJ|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||MYHRE|MICHAEL|PO BOX 9589||BOISE|AR007|ID|83707||wav1850@yahoo.com|1821093527||||||||||||||||||||||37411QCJLF|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||FAWCETT|KENNEDY|1515 WILSON AVE||AMES|LA071|IA|50010||gamespot2040@yahoo.com|1124021464||||||||||||||||||||||80989NZJSO|
20|207RC0000X|207RC0000X|207RC0000X|207RC0000X||||GROUP||I||HICKS|JOHN|1213 56TH ST||MERIDIAN|NE055|MS|39305||massive1941@duck.com|1942204284||||||||||||||||||||||76413PQFEA|
